_id,id,nome,username,idioma,qt_assinatura,qtd_start,data_cadastro
674b6554d75c18c6321cbd8d,1392715244,ManuRosado27,,espanhol,0,1,2024-11-30T19:19:48.843Z
674b66ffd75c18c6321cbd92,1868767382,GMS,GMS_95,espanhol,0,1,2024-11-30T19:26:55.617Z
674b6a9cd75c18c6321cbd97,6967175975,Flaquito,Flaquito007,portugues,0,1,2024-11-30T19:42:20.422Z
674b6bbbd75c18c6321cbd9c,5654562619,Dani,Dariel2322,espanhol,0,1,2024-11-30T19:47:07.156Z
674b6d81d75c18c6321cbda1,6160899324,C,,espanhol,0,1,2024-11-30T19:54:41.450Z
674b7266d75c18c6321cbda6,1019274020,Hakim,hakimo72,portugues_br,0,1,2024-11-30T20:15:34.096Z
674b72b0d75c18c6321cbdab,5928988788,Z,,espanhol,0,1,2024-11-30T20:16:48.524Z
674b7373d75c18c6321cbdb0,271726664,Juanjo,JuanjoBlueGeek,espanhol,0,1,2024-11-30T20:20:03.825Z
674b7555d75c18c6321cbdb8,7428354003,AHORA/CL,,espanhol,0,1,2024-11-30T20:28:05.469Z
674b7772d75c18c6321cbdbd,7296502384,Raúl,,espanhol,0,1,2024-11-30T20:37:06.379Z
674b797ed75c18c6321cbdc2,6752553936,Calum,,portugues,0,1,2024-11-30T20:45:50.632Z
674b7a87d75c18c6321cbdc7,6646656534,Victor,,espanhol,0,1,2024-11-30T20:50:15.479Z
674b7a9ed75c18c6321cbdcc,6784299689,Tony,tzshoez,espanhol,0,1,2024-11-30T20:50:38.012Z
674b7b2cd75c18c6321cbdd1,2071621357,Rozh,Rozh_Gardi,portugues,0,1,2024-11-30T20:53:00.546Z
674b7d4ed75c18c6321cbdd6,6954409220,Pancho,,espanhol,0,1,2024-11-30T21:02:06.592Z
674b806fd75c18c6321cbddb,7742333442,Alejandro,,espanhol,0,1,2024-11-30T21:15:27.254Z
674b820ed75c18c6321cbde0,7614463631,Korea,,espanhol,0,1,2024-11-30T21:22:22.880Z
674b83d0d75c18c6321cbde9,1502021625,Enrique,,espanhol,0,1,2024-11-30T21:29:52.971Z
674b861ad75c18c6321cbdee,6707946344,Lance,LanceRomance,portugues_br,0,1,2024-11-30T21:39:38.974Z
674b8906d75c18c6321cbdf3,7175527235,G,,espanhol,0,1,2024-11-30T21:52:06.906Z
674b8a71d75c18c6321cbdf8,923828061,alex,,espanhol,0,1,2024-11-30T21:58:09.334Z
674b8bb9d75c18c6321cbdfd,951340012,Juanjo,,espanhol,0,1,2024-11-30T22:03:37.044Z
674b8eb5d75c18c6321cbe02,1498313398,Estaban,,espanhol,0,1,2024-11-30T22:16:21.686Z
674b9031d75c18c6321cbe07,993788108,Valeriiia,valeriiia_gmez,espanhol,0,1,2024-11-30T22:22:41.841Z
674b97d0d75c18c6321cbe0c,5567816401,G,,espanhol,0,1,2024-11-30T22:55:12.457Z
674b9bc6d75c18c6321cbe11,1426165633,Fran,,espanhol,0,1,2024-11-30T23:12:06.674Z
674b9dab2dcbdfa2e6a230f5,9616970,.........,Habana_blues,espanhol,0,1,2024-11-30T23:20:11.255Z
674b9dd12dcbdfa2e6a2310c,7052470221,Nono,nonito29,espanhol,0,1,2024-11-30T23:20:49.630Z
674b9e822dcbdfa2e6a23135,7932944830,JonSnow,,espanhol,0,1,2024-11-30T23:23:46.639Z
674b9eca2dcbdfa2e6a2313a,1119530310,Marcelo,,espanhol,0,1,2024-11-30T23:24:58.528Z
674ba1751aab61823ad7632b,5814271219,Adrian,,espanhol,0,1,2024-11-30T23:36:21.882Z
674ba3301aab61823ad763f2,6721447659,FOX LTDA 01,Agencialtda,espanhol,0,1,2024-11-30T23:43:44.584Z
674ba3cc1aab61823ad76466,7787452914,Jdjejwjfj,iskfkskkfkf,espanhol,0,1,2024-11-30T23:46:20.727Z
674ba66e7ce3cccfe6deb90e,6161740014,Riki,,espanhol,0,1,2024-11-30T23:57:34.357Z
674ba8617cf9f45c86c3d2d9,673195223,Rafael,rafaellima777,espanhol,0,1,2024-12-01T00:05:53.584Z
674bb89e0d0880f1afd345b6,5578262036,Tato,,espanhol,0,1,2024-12-01T01:15:10.292Z
674bbcc90d0880f1afd34837,6449292906,Agustin,,espanhol,0,1,2024-12-01T01:32:57.883Z
674bbcdf0d0880f1afd3484c,7218856058,Fran,,espanhol,0,1,2024-12-01T01:33:19.087Z
674bce690d0880f1afd356c5,252320755,Juan Jose,,espanhol,0,1,2024-12-01T02:48:09.701Z
674bd3950d0880f1afd356cc,334392962,Mario,mariof799,espanhol,0,1,2024-12-01T03:10:13.563Z
674bd4e60d0880f1afd356d1,6768865623,Gustavo,,espanhol,0,1,2024-12-01T03:15:50.258Z
674bdb8c0d0880f1afd356d6,7376416311,Matías,,espanhol,0,1,2024-12-01T03:44:12.899Z
674becae0d0880f1afd356db,8197447788,Angel,,espanhol,0,1,2024-12-01T04:57:18.970Z
674c11790d0880f1afd356fe,6930727772,Serial,Sameer12334455,portugues,0,1,2024-12-01T07:34:17.529Z
674c11a10d0880f1afd3570a,6310422923,Leo,,espanhol,0,1,2024-12-01T07:34:57.955Z
674c20250d0880f1afd3570f,2142577437,Blade,,espanhol,0,1,2024-12-01T08:36:53.613Z
674c23800d0880f1afd35714,305468669,Alex,Beod01,espanhol,0,1,2024-12-01T08:51:12.813Z
674c23dd0d0880f1afd35719,5831930024,aaaaaa,,espanhol,0,1,2024-12-01T08:52:45.822Z
674c29020d0880f1afd3571e,7184239368,Bob,,espanhol,0,1,2024-12-01T09:14:42.067Z
674c2ad00d0880f1afd35723,5696447952,Cristian,Cristian_Mancia,espanhol,0,1,2024-12-01T09:22:24.058Z
674c3d440d0880f1afd35728,791735611,Matt_aks,,espanhol,0,1,2024-12-01T10:41:08.558Z
674c40030d0880f1afd3572d,1976336520,Rubén,rubenss2,espanhol,1,1,2024-12-01T10:52:51.324Z
674c539c0d0880f1afd3574b,6844019857,maryam,m_ryam_23,espanhol,0,1,2024-12-01T12:16:28.774Z
674c5d8a0d0880f1afd35751,7060666354,Oi,,portugues,0,1,2024-12-01T12:58:50.117Z
674c638e0d0880f1afd35777,832375365,Casquero,,espanhol,0,1,2024-12-01T13:24:30.963Z
674c64540d0880f1afd3577f,5137564889,Juanjo,,espanhol,0,1,2024-12-01T13:27:48.540Z
674c677d0d0880f1afd35786,851998941,🐦‍🔥Hoselito🐙,PepeMary85,espanhol,0,1,2024-12-01T13:41:17.242Z
674c75380d0880f1afd3578b,5887062835,Ivan,,espanhol,0,1,2024-12-01T14:39:52.309Z
674c787c0d0880f1afd35790,5560737406,Sotiris,,espanhol,0,1,2024-12-01T14:53:48.679Z
674c78e00d0880f1afd35795,1623803196,Elver,,espanhol,0,1,2024-12-01T14:55:28.768Z
